dteday,season,yr,mnth,holiday,weekday,workingday,instant_y,hr,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y,cnt_y
2011-01-02,1,0,1,0,0,0,25,0,2,0.46,0.4545,0.88,0.2985,4,13,17
2011-01-02,1,0,1,0,0,0,26,1,2,0.44,0.4394,0.94,0.2537,1,16,17
2011-01-02,1,0,1,0,0,0,27,2,2,0.42,0.4242,1.0,0.2836,1,8,9
2011-01-02,1,0,1,0,0,0,28,3,2,0.46,0.4545,0.94,0.194,2,4,6
2011-01-02,1,0,1,0,0,0,29,4,2,0.46,0.4545,0.94,0.194,2,1,3
2011-01-02,1,0,1,0,0,0,30,6,3,0.42,0.4242,0.77,0.2985,0,2,2
2011-01-02,1,0,1,0,0,0,31,7,2,0.4,0.4091,0.76,0.194,0,1,1
2011-01-02,1,0,1,0,0,0,32,8,3,0.4,0.4091,0.71,0.2239,0,8,8
2011-01-02,1,0,1,0,0,0,33,9,2,0.38,0.3939,0.76,0.2239,1,19,20
2011-01-02,1,0,1,0,0,0,34,10,2,0.36,0.3485,0.81,0.2239,7,46,53
2011-01-02,1,0,1,0,0,0,35,11,2,0.36,0.3333,0.71,0.2537,16,54,70
2011-01-02,1,0,1,0,0,0,36,12,2,0.36,0.3333,0.66,0.2985,20,73,93
2011-01-02,1,0,1,0,0,0,37,13,2,0.36,0.3485,0.66,0.1343,11,64,75
2011-01-02,1,0,1,0,0,0,38,14,3,0.36,0.3485,0.76,0.194,4,55,59
2011-01-02,1,0,1,0,0,0,39,15,3,0.34,0.3333,0.81,0.1642,19,55,74
2011-01-02,1,0,1,0,0,0,40,16,3,0.34,0.3333,0.71,0.1642,9,67,76
2011-01-02,1,0,1,0,0,0,41,17,1,0.34,0.3333,0.57,0.194,7,58,65
2011-01-02,1,0,1,0,0,0,42,18,2,0.36,0.3333,0.46,0.3284,10,43,53
2011-01-02,1,0,1,0,0,0,43,19,1,0.32,0.2879,0.42,0.4478,1,29,30
2011-01-02,1,0,1,0,0,0,44,20,1,0.3,0.2727,0.39,0.3582,5,17,22
2011-01-02,1,0,1,0,0,0,45,21,1,0.26,0.2273,0.44,0.3284,11,20,31
2011-01-02,1,0,1,0,0,0,46,22,1,0.24,0.2121,0.44,0.2985,0,9,9
2011-01-02,1,0,1,0,0,0,47,23,1,0.22,0.2273,0.47,0.1642,0,8,8
2011-01-03,1,0,1,0,1,1,48,0,1,0.22,0.197,0.44,0.3582,0,5,5
2011-01-03,1,0,1,0,1,1,49,1,1,0.2,0.1667,0.44,0.4179,0,2,2
2011-01-03,1,0,1,0,1,1,50,4,1,0.16,0.1364,0.47,0.3881,0,1,1
2011-01-03,1,0,1,0,1,1,51,5,1,0.16,0.1364,0.47,0.2836,0,3,3
2011-01-03,1,0,1,0,1,1,52,6,1,0.14,0.1061,0.5,0.3881,0,30,30
2011-01-03,1,0,1,0,1,1,53,7,1,0.14,0.1364,0.5,0.194,1,63,64
2011-01-03,1,0,1,0,1,1,54,8,1,0.14,0.1212,0.5,0.2836,1,153,154
2011-01-03,1,0,1,0,1,1,55,9,1,0.16,0.1364,0.43,0.3881,7,81,88
2011-01-03,1,0,1,0,1,1,56,10,1,0.18,0.1667,0.43,0.2537,11,33,44
2011-01-03,1,0,1,0,1,1,57,11,1,0.2,0.1818,0.4,0.3284,10,41,51
2011-01-03,1,0,1,0,1,1,58,12,1,0.22,0.2121,0.35,0.2985,13,48,61
2011-01-03,1,0,1,0,1,1,59,13,1,0.24,0.2121,0.35,0.2836,8,53,61
2011-01-03,1,0,1,0,1,1,60,14,1,0.26,0.2424,0.3,0.2836,11,66,77
2011-01-03,1,0,1,0,1,1,61,15,1,0.26,0.2424,0.3,0.2537,14,58,72
2011-01-03,1,0,1,0,1,1,62,16,1,0.26,0.2424,0.3,0.2537,9,67,76
2011-01-03,1,0,1,0,1,1,63,17,1,0.24,0.2273,0.3,0.2239,11,146,157
2011-01-03,1,0,1,0,1,1,64,18,1,0.24,0.2576,0.32,0.1045,9,148,157
2011-01-03,1,0,1,0,1,1,65,19,1,0.2,0.2576,0.47,0.0,8,102,110
2011-01-03,1,0,1,0,1,1,66,20,1,0.2,0.2273,0.47,0.1045,3,49,52
2011-01-03,1,0,1,0,1,1,67,21,1,0.18,0.197,0.64,0.1343,3,49,52
2011-01-03,1,0,1,0,1,1,68,22,1,0.14,0.1515,0.69,0.1343,0,20,20
2011-01-03,1,0,1,0,1,1,69,23,1,0.18,0.2121,0.55,0.1045,1,11,12
2011-01-04,1,0,1,0,2,1,70,0,1,0.16,0.1818,0.55,0.1045,0,5,5
2011-01-04,1,0,1,0,2,1,71,1,1,0.16,0.1818,0.59,0.1045,0,2,2
2011-01-04,1,0,1,0,2,1,72,2,1,0.14,0.1515,0.63,0.1343,0,1,1
2011-01-04,1,0,1,0,2,1,73,4,1,0.14,0.1818,0.63,0.0896,0,2,2
2011-01-04,1,0,1,0,2,1,74,5,1,0.12,0.1515,0.68,0.1045,0,4,4
2011-01-04,1,0,1,0,2,1,75,6,1,0.12,0.1515,0.74,0.1045,0,36,36
2011-01-04,1,0,1,0,2,1,76,7,1,0.12,0.1515,0.74,0.1343,2,92,94
2011-01-04,1,0,1,0,2,1,77,8,1,0.14,0.1515,0.69,0.1642,2,177,179
2011-01-04,1,0,1,0,2,1,78,9,1,0.16,0.1515,0.64,0.2239,2,98,100
2011-01-04,1,0,1,0,2,1,79,10,2,0.16,0.1364,0.69,0.3284,5,37,42
2011-01-04,1,0,1,0,2,1,80,11,1,0.22,0.2121,0.51,0.2985,7,50,57
2011-01-04,1,0,1,0,2,1,81,12,1,0.22,0.2273,0.51,0.1642,12,66,78
2011-01-04,1,0,1,0,2,1,82,13,1,0.24,0.2273,0.56,0.194,18,79,97
2011-01-04,1,0,1,0,2,1,83,14,1,0.26,0.2576,0.52,0.2239,9,54,63
2011-01-04,1,0,1,0,2,1,84,15,1,0.28,0.2727,0.52,0.2537,17,48,65
2011-01-04,1,0,1,0,2,1,85,16,1,0.3,0.2879,0.49,0.2537,15,68,83
2011-01-04,1,0,1,0,2,1,86,17,1,0.28,0.2727,0.48,0.2239,10,202,212
2011-01-04,1,0,1,0,2,1,87,18,1,0.26,0.2576,0.48,0.194,3,179,182
2011-01-04,1,0,1,0,2,1,88,19,1,0.24,0.2576,0.48,0.1045,2,110,112
2011-01-04,1,0,1,0,2,1,89,20,1,0.24,0.2576,0.48,0.1045,1,53,54
2011-01-04,1,0,1,0,2,1,90,21,1,0.22,0.2727,0.64,0.0,0,48,48
2011-01-04,1,0,1,0,2,1,91,22,1,0.22,0.2576,0.64,0.0896,1,34,35
2011-01-04,1,0,1,0,2,1,92,23,1,0.2,0.2273,0.69,0.0896,2,9,11
2011-01-05,1,0,1,0,3,1,93,0,1,0.2,0.2576,0.64,0.0,0,6,6
2011-01-05,1,0,1,0,3,1,94,1,1,0.16,0.197,0.74,0.0896,0,6,6
2011-01-05,1,0,1,0,3,1,95,2,1,0.16,0.197,0.74,0.0896,0,2,2
2011-01-05,1,0,1,0,3,1,96,4,1,0.24,0.2273,0.48,0.2239,0,2,2
2011-01-05,1,0,1,0,3,1,97,5,1,0.22,0.2273,0.47,0.1642,0,3,3
2011-01-05,1,0,1,0,3,1,98,6,1,0.2,0.197,0.47,0.2239,0,33,33
2011-01-05,1,0,1,0,3,1,99,7,1,0.18,0.1818,0.43,0.194,1,87,88
2011-01-05,1,0,1,0,3,1,100,8,1,0.2,0.1818,0.4,0.2985,3,192,195
2011-01-05,1,0,1,0,3,1,101,9,1,0.22,0.197,0.37,0.3284,6,109,115
2011-01-05,1,0,1,0,3,1,102,10,1,0.22,0.197,0.37,0.3284,4,53,57
2011-01-05,1,0,1,0,3,1,103,11,1,0.26,0.2273,0.33,0.3284,12,34,46
2011-01-05,1,0,1,0,3,1,104,12,1,0.26,0.2273,0.33,0.3284,5,74,79
2011-01-05,1,0,1,0,3,1,105,13,1,0.28,0.2576,0.3,0.2985,6,65,71
2011-01-05,1,0,1,0,3,1,106,14,1,0.3,0.2879,0.28,0.194,10,52,62
2011-01-05,1,0,1,0,3,1,107,15,1,0.3,0.2879,0.28,0.194,7,55,62
2011-01-05,1,0,1,0,3,1,108,16,1,0.3,0.3182,0.28,0.0896,4,85,89
2011-01-05,1,0,1,0,3,1,109,17,1,0.24,0.2273,0.38,0.194,4,186,190
2011-01-05,1,0,1,0,3,1,110,18,1,0.24,0.2424,0.38,0.1343,3,166,169
2011-01-05,1,0,1,0,3,1,111,19,1,0.24,0.2576,0.38,0.1045,5,127,132
2011-01-05,1,0,1,0,3,1,112,20,1,0.22,0.2273,0.47,0.1642,7,82,89
2011-01-05,1,0,1,0,3,1,113,21,1,0.2,0.197,0.51,0.194,3,40,43
2011-01-05,1,0,1,0,3,1,114,22,1,0.18,0.197,0.55,0.1343,1,41,42
2011-01-05,1,0,1,0,3,1,115,23,1,0.2,0.2576,0.47,0.0,1,18,19
2011-01-06,1,0,1,0,4,1,116,0,1,0.18,0.2424,0.55,0.0,0,11,11
2011-01-06,1,0,1,0,4,1,117,1,1,0.16,0.2273,0.64,0.0,0,4,4
2011-01-06,1,0,1,0,4,1,118,2,1,0.16,0.2273,0.64,0.0,0,2,2
2011-01-06,1,0,1,0,4,1,119,4,2,0.16,0.197,0.64,0.0896,0,1,1
2011-01-06,1,0,1,0,4,1,120,5,2,0.14,0.1818,0.69,0.0896,0,4,4
2011-01-06,1,0,1,0,4,1,121,6,2,0.14,0.1667,0.63,0.1045,0,36,36
2011-01-06,1,0,1,0,4,1,122,7,2,0.16,0.2273,0.59,0.0,0,95,95
2011-01-06,1,0,1,0,4,1,123,8,1,0.16,0.2273,0.59,0.0,3,216,219
2011-01-06,1,0,1,0,4,1,124,9,2,0.18,0.2424,0.51,0.0,6,116,122
2011-01-06,1,0,1,0,4,1,125,10,1,0.2,0.2576,0.47,0.0,3,42,45
2011-01-06,1,0,1,0,4,1,126,11,1,0.22,0.2576,0.44,0.0896,2,57,59
2011-01-06,1,0,1,0,4,1,127,12,1,0.26,0.2879,0.35,0.0,6,78,84
2011-01-06,1,0,1,0,4,1,128,13,1,0.26,0.2727,0.35,0.1045,12,55,67
2011-01-06,1,0,1,0,4,1,129,14,1,0.28,0.2727,0.36,0.1642,11,59,70
2011-01-06,1,0,1,0,4,1,130,15,1,0.28,0.2727,0.36,0.0,8,54,62
2011-01-06,1,0,1,0,4,1,131,16,1,0.26,0.2576,0.38,0.1642,12,74,86
2011-01-06,1,0,1,0,4,1,132,17,1,0.22,0.2273,0.51,0.1642,9,163,172
2011-01-06,1,0,1,0,4,1,133,18,1,0.22,0.2273,0.51,0.1343,5,158,163
2011-01-06,1,0,1,0,4,1,134,19,1,0.22,0.2576,0.55,0.0896,3,109,112
2011-01-06,1,0,1,0,4,1,135,20,1,0.2,0.2121,0.51,0.1642,3,66,69
2011-01-06,1,0,1,0,4,1,136,21,2,0.22,0.2121,0.55,0.2239,0,48,48
2011-01-06,1,0,1,0,4,1,137,22,2,0.22,0.2121,0.51,0.2836,1,51,52
2011-01-06,1,0,1,0,4,1,138,23,2,0.2,0.197,0.59,0.194,4,19,23
2011-01-07,1,0,1,0,5,1,139,0,2,0.2,0.197,0.64,0.194,4,13,17
2011-01-07,1,0,1,0,5,1,140,1,2,0.2,0.197,0.69,0.2239,2,5,7
2011-01-07,1,0,1,0,5,1,141,2,2,0.2,0.197,0.69,0.2239,0,1,1
2011-01-07,1,0,1,0,5,1,142,4,2,0.2,0.2121,0.69,0.1343,0,1,1
2011-01-07,1,0,1,0,5,1,143,5,3,0.22,0.2727,0.55,0.0,0,5,5
2011-01-07,1,0,1,0,5,1,144,6,2,0.2,0.2576,0.69,0.0,8,26,34
2011-01-07,1,0,1,0,5,1,145,7,1,0.2,0.2121,0.69,0.1343,8,76,84
2011-01-07,1,0,1,0,5,1,146,8,1,0.2,0.197,0.51,0.2537,20,190,210
2011-01-07,1,0,1,0,5,1,147,9,1,0.2,0.1818,0.47,0.2985,9,125,134
2011-01-07,1,0,1,0,5,1,148,10,1,0.22,0.197,0.37,0.3284,16,47,63
2011-01-07,1,0,1,0,5,1,149,11,2,0.2,0.197,0.4,0.2239,19,48,67
2011-01-07,1,0,1,0,5,1,150,12,2,0.2,0.197,0.37,0.2537,9,50,59
2011-01-07,1,0,1,0,5,1,151,13,2,0.2,0.1818,0.37,0.2836,9,64,73
2011-01-07,1,0,1,0,5,1,152,14,2,0.2,0.197,0.4,0.2537,7,43,50
2011-01-07,1,0,1,0,5,1,153,15,2,0.2,0.2121,0.37,0.1642,9,63,72
2011-01-07,1,0,1,0,5,1,154,16,2,0.2,0.2121,0.37,0.1642,5,82,87
2011-01-07,1,0,1,0,5,1,155,17,2,0.2,0.2576,0.37,0.0,9,178,187
2011-01-07,1,0,1,0,5,1,156,18,1,0.2,0.2273,0.4,0.0896,7,116,123
2011-01-07,1,0,1,0,5,1,157,19,1,0.16,0.197,0.55,0.0896,3,92,95
2011-01-07,1,0,1,0,5,1,158,20,1,0.18,0.2121,0.47,0.1045,1,50,51
2011-01-07,1,0,1,0,5,1,159,21,1,0.18,0.197,0.47,0.1343,0,39,39
2011-01-07,1,0,1,0,5,1,160,22,2,0.18,0.197,0.43,0.1642,2,34,36
2011-01-07,1,0,1,0,5,1,161,23,2,0.18,0.197,0.51,0.1642,1,14,15
2011-01-08,1,0,1,0,6,0,162,0,2,0.18,0.197,0.51,0.1642,1,24,25
2011-01-08,1,0,1,0,6,0,163,1,2,0.18,0.2121,0.55,0.0896,1,15,16
2011-01-08,1,0,1,0,6,0,164,2,2,0.18,0.2424,0.55,0.0,3,13,16
2011-01-08,1,0,1,0,6,0,165,3,3,0.18,0.197,0.55,0.1642,0,7,7
2011-01-08,1,0,1,0,6,0,166,4,3,0.18,0.197,0.55,0.1642,0,1,1
2011-01-08,1,0,1,0,6,0,167,5,2,0.16,0.1667,0.74,0.1642,0,5,5
2011-01-08,1,0,1,0,6,0,168,6,2,0.16,0.1667,0.74,0.1642,0,2,2
2011-01-08,1,0,1,0,6,0,169,7,2,0.16,0.1818,0.74,0.1045,1,8,9
2011-01-08,1,0,1,0,6,0,170,8,3,0.16,0.1818,0.93,0.1045,0,15,15
2011-01-08,1,0,1,0,6,0,171,9,3,0.16,0.1818,0.93,0.1045,0,20,20
2011-01-08,1,0,1,0,6,0,172,10,2,0.18,0.197,0.8,0.1642,5,56,61
2011-01-08,1,0,1,0,6,0,173,11,2,0.2,0.1818,0.69,0.3881,2,60,62
2011-01-08,1,0,1,0,6,0,174,12,2,0.2,0.1818,0.59,0.3582,8,90,98
2011-01-08,1,0,1,0,6,0,175,13,1,0.2,0.1818,0.44,0.3284,7,95,102
2011-01-08,1,0,1,0,6,0,176,14,1,0.2,0.1667,0.32,0.4925,12,83,95
2011-01-08,1,0,1,0,6,0,177,15,1,0.2,0.1667,0.32,0.4478,5,69,74
2011-01-08,1,0,1,0,6,0,178,16,1,0.18,0.1364,0.29,0.4478,8,68,76
2011-01-08,1,0,1,0,6,0,179,17,1,0.16,0.1212,0.37,0.5522,5,64,69
2011-01-08,1,0,1,0,6,0,180,18,1,0.14,0.1212,0.39,0.2985,3,52,55
2011-01-08,1,0,1,0,6,0,181,19,1,0.14,0.1212,0.36,0.2537,4,26,30
2011-01-08,1,0,1,0,6,0,182,20,1,0.12,0.1212,0.36,0.2537,0,28,28
2011-01-08,1,0,1,0,6,0,183,21,1,0.12,0.1061,0.39,0.3582,2,35,37
2011-01-08,1,0,1,0,6,0,184,22,1,0.12,0.1061,0.36,0.3881,1,33,34
2011-01-08,1,0,1,0,6,0,185,23,1,0.1,0.0606,0.39,0.4478,0,22,22
2011-01-09,1,0,1,0,0,0,186,0,1,0.1,0.0758,0.42,0.3881,1,24,25
2011-01-09,1,0,1,0,0,0,187,1,1,0.1,0.0606,0.42,0.4627,0,12,12
2011-01-09,1,0,1,0,0,0,188,2,1,0.1,0.0606,0.46,0.4627,0,11,11
2011-01-09,1,0,1,0,0,0,189,3,1,0.1,0.0758,0.46,0.4179,0,4,4
2011-01-09,1,0,1,0,0,0,190,4,1,0.08,0.0909,0.53,0.194,0,1,1
2011-01-09,1,0,1,0,0,0,191,5,1,0.08,0.0909,0.53,0.194,0,1,1
2011-01-09,1,0,1,0,0,0,192,6,1,0.1,0.0909,0.49,0.2836,0,1,1
2011-01-09,1,0,1,0,0,0,193,7,1,0.08,0.0909,0.53,0.194,1,5,6
2011-01-09,1,0,1,0,0,0,194,8,1,0.1,0.0909,0.49,0.2836,0,10,10
2011-01-09,1,0,1,0,0,0,195,9,1,0.12,0.0758,0.46,0.5224,0,19,19
2011-01-09,1,0,1,0,0,0,196,10,1,0.14,0.1061,0.43,0.3881,0,49,49
2011-01-09,1,0,1,0,0,0,197,11,1,0.16,0.1212,0.4,0.5224,2,47,49
2011-01-09,1,0,1,0,0,0,198,12,1,0.18,0.1364,0.37,0.4478,4,79,83
2011-01-09,1,0,1,0,0,0,199,13,1,0.2,0.1667,0.34,0.4478,6,69,75
2011-01-09,1,0,1,0,0,0,200,14,1,0.22,0.1818,0.32,0.4627,8,64,72
2011-01-09,1,0,1,0,0,0,201,15,1,0.22,0.197,0.35,0.3582,5,77,82
2011-01-09,1,0,1,0,0,0,202,16,1,0.2,0.1667,0.34,0.4478,13,79,92
2011-01-09,1,0,1,0,0,0,203,17,1,0.18,0.1515,0.37,0.3881,3,59,62
2011-01-09,1,0,1,0,0,0,204,18,1,0.16,0.1364,0.4,0.3284,4,44,48
2011-01-09,1,0,1,0,0,0,205,19,1,0.16,0.1364,0.43,0.3284,1,40,41
2011-01-09,1,0,1,0,0,0,206,20,1,0.14,0.1212,0.46,0.2537,0,38,38
2011-01-09,1,0,1,0,0,0,207,21,1,0.14,0.1061,0.46,0.4179,1,19,20
2011-01-09,1,0,1,0,0,0,208,22,1,0.14,0.1212,0.46,0.2985,5,10,15
2011-01-09,1,0,1,0,0,0,209,23,1,0.12,0.1364,0.5,0.194,0,6,6
2011-01-10,1,0,1,0,1,1,210,0,1,0.12,0.1212,0.5,0.2836,2,3,5
2011-01-10,1,0,1,0,1,1,211,1,1,0.12,0.1212,0.5,0.2836,1,0,1
2011-01-10,1,0,1,0,1,1,212,2,1,0.12,0.1212,0.5,0.2239,0,3,3
2011-01-10,1,0,1,0,1,1,213,3,1,0.12,0.1212,0.5,0.2239,0,1,1
2011-01-10,1,0,1,0,1,1,214,4,1,0.1,0.1212,0.54,0.1343,1,2,3
2011-01-10,1,0,1,0,1,1,215,5,1,0.1,0.1061,0.54,0.2537,0,3,3
2011-01-10,1,0,1,0,1,1,216,6,1,0.12,0.1212,0.5,0.2836,0,31,31
2011-01-10,1,0,1,0,1,1,217,7,1,0.12,0.1212,0.5,0.2239,2,75,77
2011-01-10,1,0,1,0,1,1,218,8,2,0.12,0.1212,0.5,0.2836,4,184,188
2011-01-10,1,0,1,0,1,1,219,9,2,0.14,0.1212,0.5,0.2537,2,92,94
2011-01-10,1,0,1,0,1,1,220,10,2,0.14,0.1212,0.5,0.2985,0,31,31
2011-01-10,1,0,1,0,1,1,221,11,2,0.16,0.1364,0.47,0.2836,2,28,30
2011-01-10,1,0,1,0,1,1,222,12,2,0.2,0.1818,0.4,0.2836,5,47,52
2011-01-10,1,0,1,0,1,1,223,13,2,0.2,0.1818,0.4,0.2836,4,50,54
2011-01-10,1,0,1,0,1,1,224,14,2,0.2,0.197,0.4,0.2239,0,47,47
2011-01-10,1,0,1,0,1,1,225,15,2,0.2,0.197,0.4,0.2239,2,43,45
2011-01-10,1,0,1,0,1,1,226,16,1,0.2,0.2121,0.4,0.1343,4,70,74
2011-01-10,1,0,1,0,1,1,227,17,1,0.2,0.2273,0.4,0.1045,4,174,178
2011-01-10,1,0,1,0,1,1,228,18,1,0.2,0.197,0.4,0.2239,1,154,155
2011-01-10,1,0,1,0,1,1,229,19,1,0.16,0.1667,0.47,0.1642,3,92,95
2011-01-10,1,0,1,0,1,1,230,20,1,0.16,0.1667,0.5,0.1642,1,73,74
2011-01-10,1,0,1,0,1,1,231,21,1,0.14,0.1364,0.59,0.194,1,37,38
2011-01-10,1,0,1,0,1,1,232,22,1,0.14,0.1515,0.59,0.1642,2,22,24
2011-01-10,1,0,1,0,1,1,233,23,1,0.14,0.1515,0.59,0.1642,0,18,18
2011-01-11,1,0,1,0,2,1,234,0,1,0.14,0.1667,0.59,0.1045,2,10,12
2011-01-11,1,0,1,0,2,1,235,1,1,0.14,0.1515,0.59,0.1642,0,3,3
2011-01-11,1,0,1,0,2,1,236,2,2,0.16,0.1515,0.55,0.194,0,3,3
2011-01-11,1,0,1,0,2,1,237,5,2,0.16,0.1818,0.55,0.1343,0,6,6
2011-01-11,1,0,1,0,2,1,238,6,2,0.16,0.1818,0.55,0.1343,0,27,27
2011-01-11,1,0,1,0,2,1,239,7,2,0.16,0.2273,0.55,0.0,2,97,99
2011-01-11,1,0,1,0,2,1,240,8,2,0.18,0.2121,0.51,0.0896,3,214,217
2011-01-11,1,0,1,0,2,1,241,9,2,0.18,0.197,0.51,0.1642,3,127,130
2011-01-11,1,0,1,0,2,1,242,10,2,0.2,0.2121,0.51,0.1642,3,51,54
2011-01-11,1,0,1,0,2,1,243,11,2,0.2,0.2121,0.47,0.1343,4,31,35
2011-01-11,1,0,1,0,2,1,244,12,2,0.2,0.2273,0.51,0.1045,2,55,57
2011-01-11,1,0,1,0,2,1,245,13,2,0.2,0.2273,0.59,0.0896,6,46,52
2011-01-11,1,0,1,0,2,1,246,14,2,0.2,0.2273,0.59,0.0896,3,60,63
2011-01-11,1,0,1,0,2,1,247,15,2,0.16,0.197,0.8,0.0896,2,45,47
2011-01-11,1,0,1,0,2,1,248,16,2,0.16,0.1515,0.86,0.2239,4,72,76
2011-01-11,1,0,1,0,2,1,249,17,2,0.16,0.1515,0.86,0.2239,6,130,136
2011-01-11,1,0,1,0,2,1,250,18,3,0.16,0.1818,0.93,0.1045,1,94,95
2011-01-11,1,0,1,0,2,1,251,19,3,0.16,0.2273,0.93,0.0,0,51,51
2011-01-11,1,0,1,0,2,1,252,20,3,0.16,0.1515,0.93,0.194,0,32,32
2011-01-11,1,0,1,0,2,1,253,21,3,0.16,0.197,0.86,0.0896,0,20,20
2011-01-11,1,0,1,0,2,1,254,22,3,0.16,0.1818,0.93,0.1045,1,28,29
2011-01-11,1,0,1,0,2,1,255,23,3,0.16,0.197,0.93,0.0896,1,18,19
2011-01-12,1,0,1,0,3,1,256,0,2,0.16,0.197,0.86,0.0896,0,7,7
2011-01-12,1,0,1,0,3,1,257,1,2,0.16,0.1818,0.86,0.1045,0,6,6
2011-01-12,1,0,1,0,3,1,258,2,1,0.14,0.1515,0.86,0.1343,0,1,1
2011-01-12,1,0,1,0,3,1,259,5,1,0.14,0.1515,0.86,0.1642,0,5,5
2011-01-12,1,0,1,0,3,1,260,6,1,0.12,0.1515,0.93,0.1343,0,16,16
2011-01-12,1,0,1,0,3,1,261,7,1,0.14,0.1515,0.69,0.1343,0,54,54
2011-01-12,1,0,1,0,3,1,262,8,1,0.16,0.1667,0.59,0.1642,3,125,128
2011-01-12,1,0,1,0,3,1,263,9,1,0.16,0.1364,0.59,0.3284,3,78,81
2011-01-12,1,0,1,0,3,1,264,10,1,0.18,0.1818,0.55,0.2239,0,39,39
2011-01-12,1,0,1,0,3,1,265,11,1,0.2,0.1818,0.51,0.3881,3,32,35
2011-01-12,1,0,1,0,3,1,266,12,1,0.2,0.1515,0.47,0.5821,3,52,55
2011-01-12,1,0,1,0,3,1,267,13,1,0.22,0.197,0.44,0.3582,0,49,49
2011-01-12,1,0,1,0,3,1,268,14,1,0.2,0.1818,0.47,0.3284,0,44,44
2011-01-12,1,0,1,0,3,1,269,15,1,0.2,0.1667,0.47,0.4179,1,48,49
2011-01-12,1,0,1,0,3,1,270,16,1,0.22,0.197,0.44,0.3284,5,63,68
2011-01-12,1,0,1,0,3,1,271,17,1,0.2,0.1818,0.47,0.3582,0,139,139
2011-01-12,1,0,1,0,3,1,272,18,1,0.2,0.1515,0.47,0.5224,2,135,137
2011-01-12,1,0,1,0,3,1,273,19,1,0.18,0.1515,0.47,0.4179,1,82,83
2011-01-12,1,0,1,0,3,1,274,20,1,0.16,0.1364,0.5,0.3284,2,54,56
2011-01-12,1,0,1,0,3,1,275,21,1,0.16,0.1364,0.55,0.3284,0,57,57
2011-01-12,1,0,1,0,3,1,276,22,1,0.16,0.1212,0.55,0.4478,1,32,33
2011-01-12,1,0,1,0,3,1,277,23,1,0.14,0.1061,0.59,0.4179,1,19,20
2011-01-13,1,0,1,0,4,1,278,0,1,0.14,0.1212,0.59,0.2836,1,6,7
2011-01-13,1,0,1,0,4,1,279,1,1,0.14,0.1212,0.5,0.2836,0,2,2
2011-01-13,1,0,1,0,4,1,280,2,1,0.14,0.1212,0.5,0.3582,0,2,2
2011-01-13,1,0,1,0,4,1,281,3,1,0.14,0.1212,0.5,0.3284,0,3,3
2011-01-13,1,0,1,0,4,1,282,4,1,0.14,0.1212,0.5,0.2537,0,4,4
2011-01-13,1,0,1,0,4,1,283,5,1,0.14,0.1212,0.5,0.2985,0,3,3
2011-01-13,1,0,1,0,4,1,284,6,1,0.12,0.1515,0.54,0.1343,0,28,28
